epoch,loss,entity_token_f1,canonical_evidence_token_f1,relation_f1,document_macro_f1,upright_composite_score,rotated_37_entity_token_f1,rotated_37_canonical_evidence_token_f1,rotated_37_relation_f1,rotated_37_document_macro_f1,rotated_37_composite_score,selection_composite_score
1,1.0103167385747196,0.788107905360721,0.7617914741763258,0.3984344422700587,0.7997504834612542,0.68527468960201,0.7508262113752204,0.7287811658413691,0.38047408597830457,0.7951082796707519,0.6571551254720819,0.6768388203630316
2,0.2783176281303325,0.9414248634409018,0.9498732141752737,0.49002450122506125,0.993883323110475,0.835932706537492,0.9385293975086035,0.9516597091823275,0.343701399688958,0.993883323110475,0.7986403685323102,0.8247450051359374
3,0.23853926899926425,0.9515893562766434,0.9534671673852906,0.5372028403828342,0.993883323110475,0.8526915767637361,0.9476582413947425,0.9507027027027027,0.38201509681654083,0.993883323110475,0.8116310787487554,0.8403734273592418
4,0.2196224086943329,0.9532097364106444,0.9562443166931246,0.5386138613861386,0.993883323110475,0.8543867713951211,0.9497280369210483,0.9544887107960237,0.398688915375447,0.993883323110475,0.8175739536223345,0.8433429260632851
