trial_id,status,selected,ocr_profile,build_id,split,manifest_path,manifest_sha256,detector_sha256,recognizer_sha256,checkpoint_sha256,calibration_sha256,configuration_sha256,source_commit,device,sample_count,failure_count,duration_seconds,private_row_count,gmail_fit_rows,usable_example_count,train_example_count,train_ground_truth_count,train_paddleocr_count,train_hybrid_count,train_ocr_noise_count,train_ground_truth_ratio,train_paddleocr_ratio,train_hybrid_ratio,dev_select_example_count,dev_select_ground_truth_count,dev_select_paddleocr_count,dev_select_hybrid_count,mean_alignment_coverage,mean_entity_retention,mean_relation_retention,mean_canonical_retention,nonselection_ocr_variant_count,test_coru_gmail_used_for_selection
A,passed,False,original,final-94be7f4177fec681,train_and_dev_select,C:\Assumption University\CSX4201\Project\data\metadata\final_model_dataset_manifest_ocr_v2_a.csv,55790f53c69e8975c7e68a9d61069ac8df5084506e7df472a6267e899b3a650f,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,37102c71d75c2adec5fcef4710bfbacc84a4fe0d87d9d1a71a47b910543591e4,34c7a26e78d6285a2739e1b61839eadfd0e686ccbcf57f9cb47997c12cef2189,,eafacf1127c3ebb0,41c58bf0989efba972431c7c2a300a62f931cc29,gpu:0,13884,0,1.201464100042358,0,0,13884,9558,7646,956,956,0,0.7999581502406361,0.10002092487968194,0.10002092487968194,1913,1113,400,400,0.9145175193865496,0.9289981595445589,0.9939457592126222,0.9680915507796038,0,False
B,passed,True,original,final-3cbdd0416310fa7b,train_and_dev_select,C:\Assumption University\CSX4201\Project\data\metadata\final_model_dataset_manifest_ocr_v2_b.csv,96656145777de328f0fb290215e508588bed29ebb381468e4e8dd3028a663602,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,37102c71d75c2adec5fcef4710bfbacc84a4fe0d87d9d1a71a47b910543591e4,34c7a26e78d6285a2739e1b61839eadfd0e686ccbcf57f9cb47997c12cef2189,,c96e796c8985f81a,41c58bf0989efba972431c7c2a300a62f931cc29,gpu:0,15248,0,1.1892634999239817,0,0,15248,10922,7646,1638,1638,0,0.700054934993591,0.14997253250320455,0.14997253250320455,1913,1113,400,400,0.9275258598013788,0.9282949730795255,0.9959717612818035,0.9691808028412543,0,False
C,passed,False,original,final-4afac97814f51edf,train_and_dev_select,C:\Assumption University\CSX4201\Project\data\metadata\final_model_dataset_manifest_ocr_v2_c.csv,80b3159a6152e77e193779614b5b582f057d2a61a30d5281354697c9a528db11,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,37102c71d75c2adec5fcef4710bfbacc84a4fe0d87d9d1a71a47b910543591e4,34c7a26e78d6285a2739e1b61839eadfd0e686ccbcf57f9cb47997c12cef2189,,f2f49046d5bfcde6,41c58bf0989efba972431c7c2a300a62f931cc29,gpu:0,12108,0,1.1971887999679893,0,0,12108,7782,7646,68,68,0,0.9825237728090466,0.008738113595476741,0.008738113595476741,1913,1113,400,400,0.9146127802045757,0.9206945178715913,0.9952162933367894,0.9770299145299145,0,False
B_noise,passed,False,original,final-c1996b6a0fb6706c,train_and_dev_select,C:\Assumption University\CSX4201\Project\data\metadata\final_model_dataset_manifest_ocr_v2_b_noise.csv,b51e1561d98e57d78e8f8282b1f12bd896848d205db61c3e86c8ccff43e5d107,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,37102c71d75c2adec5fcef4710bfbacc84a4fe0d87d9d1a71a47b910543591e4,34c7a26e78d6285a2739e1b61839eadfd0e686ccbcf57f9cb47997c12cef2189,,08f90cdc68fa614e,41c58bf0989efba972431c7c2a300a62f931cc29,gpu:0,16781,0,1.2105724000139162,0,0,16781,12455,7646,1638,1638,1533,0.613890004014452,0.13151344841429144,0.13151344841429144,1913,1113,400,400,0.9275258598013788,0.9282949730795255,0.9959717612818035,0.9691808028412543,0,False
