trial_id,status,selected,accepted,model_name,training_mode,split,sample_count,failure_count,precision,recall,f1,small_text_recall,critical_region_recall,time_per_page_seconds,detector_sha256,checkpoint_sha256,configuration_sha256,source_commit,private_row_count,observed_steps,peak_allocated_mib,peak_reserved_mib,rejection_reason,evidence_path
det_baseline_official,passed,True,True,PP-OCRv6_medium_det,official_inference_baseline,dev_select,400,0,0.4460145592463449,0.6480312861079015,0.5283716211319661,0.6967760673830962,0.7623169107856191,0.06100456925109029,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,54d26fc6787060475fbd8a068008625f90688b8130ae2b2d463e561929a34a53,49ecedeefe08124ad401599d080506727454b7f8c89e33f1d0700625bb4e1737,412e588815f611aba08732fa647d66cdb24afa8e,0,0,,,,C:/Assumption University/CSX4201/Project/reports/ocr_upgrade/detector_trials/det_baseline_official.json
det_ft_official_aug,failed_or_bounded_stopped,False,False,PP-OCRv6_medium_det,public_train_finetune,train_with_dev_select_gate,0,1,,,,,,,,,09d6d029d25f9f35bde6fa7f2ee6f527d8df88b62ae446abfdb3d41febbcfb48,161e71bdf91acb9c25ac6b7aec063468257971b1,0,20,9777,10129,"bounded_stop: FP32 batch 4 reached 9,777 MiB allocated and 10,129 MiB reserved on an 8,151 MiB device; 10:22:14 ETA after step 20",D:/CSX4201/vision-info-extraction-assets/checkpoints/ocr_upgrade/detector/det_ft_official_aug/logs/train.log
det_ft_official_amp,failed_or_bounded_stopped,False,False,PP-OCRv6_medium_det,public_train_finetune,train_with_dev_select_gate,0,1,,,,,,,,,eb0a62efea6715475eb4a01c3fa5967be9e14da0933176aebd844cb3df3c5495,d6e7a2bfd12d64774d073cbb1ced8ab609ec3ca9,0,,,,failed_before_valid_window: CUDA 13 NVRTC DLL was unavailable; no checkpoint or development metric was produced,D:/CSX4201/vision-info-extraction-assets/checkpoints/ocr_upgrade/detector/det_ft_official_amp/logs/train.log
det_ft_official_amp_nvrtc,failed_or_bounded_stopped,False,False,PP-OCRv6_medium_det,public_train_finetune,train_with_dev_select_gate,0,1,,,,,,,,,a31c6f60cf1af070396b6d2d3621a02e7312d10d5e75e31499b52af86c882d4f,070478c40b1a763f7bab78db753bb9507bcbcf3f,0,20,12108,13639,"bounded_stop: O2 AMP repeatedly reduced the loss scale after inf/NaN; 12,108 MiB allocated, 13,639 MiB reserved, and 6:06:01 ETA at step 20",D:/CSX4201/vision-info-extraction-assets/checkpoints/ocr_upgrade/detector/det_ft_official_amp_nvrtc/logs/train.log
