profile,status,detection_precision,detection_recall,detection_f1,recognized_text_coverage,cer,wer,critical_field_exact_match,critical_field_count,time_per_page_seconds,page_failure_count,page_failure_rate,duration_seconds,normalized_efficiency_score,selection_score,split,manifest_sha256,detector_sha256,recognizer_sha256,checkpoint_sha256,calibration_sha256,configuration_hash,source_commit,device,sample_count,failure_count,private_row_count
original,passed,0.4511511755390425,0.6583414807572661,0.5354006288626261,0.3663357761171766,0.6336642238828234,0.7609419307113796,0.6637426900584795,2052,0.5266833487499389,0,0.0,210.67333949997555,0.9632644518840117,0.5171378262814721,dev_select,1786af155d1c2c3e69224c87f1885da3a62ef59617d7d57ff4d7d4bea661e3ec,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,4c7585488371803119577937a0b2ca0e98388162b247ccf250a856dea13c2f0e,,,76f35af7e080be5c34709dc9ae09e093bb47a46ce8abbb862580b4bc6ca4e189,9564454865c4b387fd8ca8ca9ea7648e7eff8e72,gpu:0,400,0,0
grayscale_normalized,passed,0.4533341408757798,0.66527419784908,0.5392262805273396,0.36583535027403125,0.6341646497259688,0.763931697694489,0.6632553606237817,2052,0.5073353472500457,0,0.0,202.9341389000183,1.0,0.5212880391972926,dev_select,1786af155d1c2c3e69224c87f1885da3a62ef59617d7d57ff4d7d4bea661e3ec,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,4c7585488371803119577937a0b2ca0e98388162b247ccf250a856dea13c2f0e,,,fa2a05f61b98bb8d525e6194fd4558d48da36c54936828a6fde95fdec63c1d24,9564454865c4b387fd8ca8ca9ea7648e7eff8e72,gpu:0,400,0,0
adaptive_contrast,passed,0.4239024109557512,0.6547862412230024,0.5146349982535802,0.3568324968843679,0.6431675031156321,0.7899457526815435,0.6622807017543859,2052,0.5207363692499348,0,0.0,208.29454769997392,0.9742652466944226,0.504989425815254,dev_select,1786af155d1c2c3e69224c87f1885da3a62ef59617d7d57ff4d7d4bea661e3ec,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,4c7585488371803119577937a0b2ca0e98388162b247ccf250a856dea13c2f0e,,,132ab08b2d109c8b776cd25dc10185cb835cf7c98e693dbea24d59ad2f0dcaf9,9564454865c4b387fd8ca8ca9ea7648e7eff8e72,gpu:0,400,0,0
background_normalized,passed,0.43478260869565216,0.6506088347702427,0.5212375832235553,0.35655341324107537,0.6434465867589246,0.7758907656269264,0.6598440545808967,2052,0.5095474817499053,0,0.0,203.8189926999621,0.9956586293150491,0.5106606872809807,dev_select,1786af155d1c2c3e69224c87f1885da3a62ef59617d7d57ff4d7d4bea661e3ec,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,4c7585488371803119577937a0b2ca0e98388162b247ccf250a856dea13c2f0e,,,11aa7cc24f32234cd7648a029ec66996e6b4b71b890050eb5204acf5a0b71c8b,9564454865c4b387fd8ca8ca9ea7648e7eff8e72,gpu:0,400,0,0
sharpen,passed,0.4474437877033697,0.6526530975024443,0.5309088279950835,0.36664854226914245,0.6333514577308575,0.7615275551719887,0.6627680311890838,2052,0.5346367929998087,0,0.0,213.85471719992347,0.9489345924051045,0.5141527161683397,dev_select,1786af155d1c2c3e69224c87f1885da3a62ef59617d7d57ff4d7d4bea661e3ec,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,4c7585488371803119577937a0b2ca0e98388162b247ccf250a856dea13c2f0e,,,3753f615bb88e374e68b404fc6200514d9eb43cf3743a4dc067309103d3af0f7,9564454865c4b387fd8ca8ca9ea7648e7eff8e72,gpu:0,400,0,0
denoise,passed,0.4515181194906954,0.6555861701182117,0.5347446260919999,0.3623083104372471,0.6376916895627529,0.810257674762668,0.49415204678362573,2052,0.6074700015000417,0,0.0,242.98800060001668,0.8351611536327211,0.46180833894250883,dev_select,1786af155d1c2c3e69224c87f1885da3a62ef59617d7d57ff4d7d4bea661e3ec,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,4c7585488371803119577937a0b2ca0e98388162b247ccf250a856dea13c2f0e,,,0a499fbe6b4227739fe5ecacd271476563f11af5bf48d1136d18008e4b9e3407,9564454865c4b387fd8ca8ca9ea7648e7eff8e72,gpu:0,400,0,0
quality_auto,passed,0.43326598526265747,0.6480312861079015,0.5193204886213896,0.35642830678028903,0.643571693219711,0.7761681666872149,0.6598440545808967,2052,0.5110627867499715,0,0.0,204.42511469998863,0.9927064940031538,0.5097174585949016,dev_select,1786af155d1c2c3e69224c87f1885da3a62ef59617d7d57ff4d7d4bea661e3ec,eccf59cf53c201173dbabb4e45115d067414e4db8aeeb37a84e0b035afba494d,4c7585488371803119577937a0b2ca0e98388162b247ccf250a856dea13c2f0e,,,3d773ebca26602d3b38bc40bb3a7df5678fa8ec93908398d1184753446e1bcea,9564454865c4b387fd8ca8ca9ea7648e7eff8e72,gpu:0,400,0,0
